images,x1,y1,x2,y2
image_0001.png,56,137,81,378
image_0002.png,51,140,26,376
image_0003.png,48,149,78,381
image_0004.png,53,138,30,373
image_0005.png,57,149,65,371
image_0006.png,62,151,36,368
image_0007.png,63,138,77,361
image_0008.png,54,140,39,363
image_0009.png,45,118,72,365
image_0010.png,73,120,36,380
image_0011.png,59,148,72,377
image_0012.png,51,147,31,378
image_0013.png,57,123,78,381
image_0014.png,35,382,63,126
image_0015.png,73,120,76,381
image_0016.png,51,130,25,380
image_0017.png,52,128,78,364
image_0018.png,60,125,32,381
image_0019.png,54,137,75,380
image_0020.png,60,136,33,381
image_0021.png,55,139,75,379
image_0022.png,62,137,34,381
image_0023.png,54,148,84,370
image_0024.png,56,139,32,381
image_0025.png,51,133,75,381
image_0026.png,70,134,26,381
image_0027.png,54,133,73,381
image_0028.png,57,127,37,378
image_0029.png,47,143,75,362
image_0030.png,60,138,41,380
image_0031.png,50,117,78,381
image_0032.png,66,121,32,382
image_0033.png,66,133,30,380
image_0034.png,52,123,77,374
image_0035.png,57,103,83,380
image_0036.png,57,114,26,379
image_0037.png,44,126,81,381
image_0038.png,66,134,27,380
image_0039.png,55,140,71,368
image_0040.png,62,140,33,368
image_0041.png,55,144,73,380
image_0042.png,57,149,36,378
image_0043.png,51,120,77,381
image_0044.png,67,119,32,382
image_0045.png,59,133,72,367
image_0046.png,54,123,38,367
image_0047.png,55,137,83,382
image_0048.png,61,132,30,379
image_0049.png,50,152,76,382
image_0050.png,57,155,33,381
image_0051.png,54,136,65,365
image_0052.png,62,139,36,351
image_0053.png,53,114,80,382
image_0054.png,56,116,32,381
image_0055.png,57,137,78,372
image_0056.png,69,129,32,365
image_0057.png,80,382,54,121
image_0058.png,61,112,32,382
image_0059.png,51,124,78,381
image_0060.png,63,113,38,377
image_0061.png,49,102,84,361
image_0062.png,63,103,33,376
image_0063.png,81,380,61,137
image_0064.png,50,139,29,382
image_0065.png,60,122,75,368
image_0066.png,43,136,31,369
image_0067.png,58,154,85,381
image_0068.png,50,152,32,381
image_0069.png,63,170,78,382
image_0070.png,57,173,33,368
image_0071.png,53,118,83,382
image_0072.png,28,381,58,119
image_0073.png,51,104,83,381
image_0074.png,51,112,27,380
image_0075.png,50,122,78,381
image_0076.png,62,126,27,382
image_0077.png,57,139,72,365
image_0078.png,54,139,41,358
image_0079.png,51,113,85,380
image_0080.png,52,118,30,381
image_0081.png,51,128,76,366
image_0082.png,51,123,25,379
